,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2355,CHEMBL2314608,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,7.4,active,565.582,4.543300000000005,1.0,5.0,8.130768280269024
2356,CHEMBL2314609,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C1CC1,2.1,active,609.5130000000004,4.131900000000003,1.0,6.0,8.67778070526608
2357,CHEMBL2159509,CC(C)S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,5.5,active,593.5140000000002,4.900700000000003,1.0,5.0,8.259637310505756
2358,CHEMBL2314610,CCCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,6.8,active,554.5550000000002,4.127400000000004,0.0,6.0,8.167491087293763
2359,CHEMBL2159510,CCS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,3.0,active,538.556,4.896200000000005,0.0,5.0,8.522878745280337
2360,CHEMBL2314611,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3cc(F)cc(F)c3)c3c(F)ccc(F)c3OC[C@@H]12,250.0,active,513.5400000000002,1.9690799999999997,0.0,8.0,6.6020599913279625
2361,CHEMBL2314612,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)c(C#N)c3)c3c(F)ccc(F)c3OC[C@@H]12,580.0,active,497.54100000000017,2.7378800000000005,0.0,7.0,6.236572006437063
2362,CHEMBL2314613,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(F)c(F)c3)c3c(F)ccc(F)c3OC[C@@H]12,31.0,active,556.5270000000002,3.116200000000002,0.0,7.0,7.508638306165727
2363,CHEMBL2314614,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(OCC(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,5100.0,intermediate,540.528,3.8850000000000033,0.0,6.0,5.292429823902063
2364,CHEMBL2314615,COc1ccc(S(=O)(=O)[C@@]23CCO[C@@H](CCS(C)(=O)=O)[C@@H]2COc2c(F)ccc(F)c23)cc1,360.0,active,522.9750000000001,2.750800000000001,0.0,7.0,6.443697499232712
2365,CHEMBL2314616,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)c3c(F)ccc(F)c3OC[C@@H]12,66.0,active,506.9760000000001,3.5196000000000023,0.0,6.0,7.180456064458132
2366,CHEMBL2314617,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Br)cc3)c3c(F)ccc(F)c3OC[C@@H]12,2.9,active,538.5940000000002,2.6257800000000007,1.0,7.0,8.537602002101044
2367,CHEMBL2314618,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,15.0,active,522.5950000000001,3.3945800000000013,1.0,6.0,7.823908740944319
2368,CHEMBL2159511,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,1.3,active,581.5810000000002,3.7729000000000026,1.0,6.0,8.886056647693163
2369,CHEMBL2315168,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C#N)cc4)C4=C(OC[C@@H]23)C(F)(F)C=CC4=O)NS1(=O)=O,31.0,active,565.5820000000001,4.541700000000004,1.0,5.0,7.508638306165727
2370,CHEMBL2315169,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C#N)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,2.0,active,567.5540000000002,3.526900000000002,1.0,6.0,8.698970004336019
2371,CHEMBL2315170,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)C4=C(OC[C@@H]23)C(F)(F)C=CC4=O)NS1(=O)=O,25.0,active,565.582,4.543300000000005,1.0,5.0,7.6020599913279625
2372,CHEMBL1085611,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,2.0,active,609.5130000000004,4.131900000000003,1.0,6.0,8.698970004336019
2373,CHEMBL2315171,O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CC[C@@H](NS(=O)(=O)C3CC3)C[C@@H]1CO2,110.0,active,593.5140000000002,4.900700000000003,1.0,5.0,6.958607314841775
2374,CHEMBL2315172,O=S(=O)(NC[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C1CC1,19.0,active,554.5550000000002,4.127400000000004,0.0,6.0,7.721246399047171
2375,CHEMBL2315173,O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CCC[C@@H](CNS(=O)(=O)C(F)(F)F)[C@@H]1CO2,200.0,active,538.556,4.896200000000005,0.0,5.0,6.698970004336019
2376,CHEMBL1085076,O=S(=O)(NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,32.0,active,513.5400000000002,1.9690799999999997,0.0,8.0,7.494850021680094
2377,CHEMBL2315174,CS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,49.0,active,497.54100000000017,2.7378800000000005,0.0,7.0,7.309803919971486
2378,CHEMBL2315175,CS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,21.0,active,556.5270000000002,3.116200000000002,0.0,7.0,7.6777807052660805
2379,CHEMBL2315176,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,410.0,active,540.528,3.8850000000000033,0.0,6.0,6.3872161432802645
2380,CHEMBL2314616,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)c3c(F)ccc(F)c3OC[C@@H]12,9.0,active,522.9750000000001,2.750800000000001,0.0,7.0,8.045757490560675
2381,CHEMBL2315177,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,27.0,active,506.9760000000001,3.5196000000000023,0.0,6.0,7.568636235841013
2382,CHEMBL2314618,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,4.0,active,538.5940000000002,2.6257800000000007,1.0,7.0,8.397940008672037
2383,CHEMBL2315178,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,11.0,active,522.5950000000001,3.3945800000000013,1.0,6.0,7.958607314841775
2384,CHEMBL2159511,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,1.0,active,581.5810000000002,3.7729000000000026,1.0,6.0,9.0
2385,CHEMBL2315168,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C#N)cc4)C4=C(OC[C@@H]23)C(F)(F)C=CC4=O)NS1(=O)=O,110.0,active,565.5820000000001,4.541700000000004,1.0,5.0,6.958607314841775
2386,CHEMBL2315169,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C#N)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,4.0,active,567.5540000000002,3.526900000000002,1.0,6.0,8.397940008672037
2387,CHEMBL2315170,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)C4=C(OC[C@@H]23)C(F)(F)C=CC4=O)NS1(=O)=O,46.0,active,565.582,4.543300000000005,1.0,5.0,7.337242168318426
2388,CHEMBL1085611,CC[C@@H]1C[C@@H]2[C@@H](CC[C@@]3(S(=O)(=O)c4ccc(C(F)(F)F)cc4)c4c(F)ccc(F)c4OC[C@@H]23)NS1(=O)=O,5.0,active,609.5130000000004,4.131900000000003,1.0,6.0,8.301029995663981
2389,CHEMBL2315171,O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CC[C@@H](NS(=O)(=O)C3CC3)C[C@@H]1CO2,280.0,active,593.5140000000002,4.900700000000003,1.0,5.0,6.552841968657781
2390,CHEMBL2315172,O=S(=O)(NC[C@@H]1CC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@H]2C1)C1CC1,6.8,active,554.5550000000002,4.127400000000004,0.0,6.0,8.167491087293763
2391,CHEMBL2315173,O=C1C=CC(F)(F)C2=C1[C@]1(S(=O)(=O)c3ccc(C(F)(F)F)cc3)CCC[C@@H](CNS(=O)(=O)C(F)(F)F)[C@@H]1CO2,330.0,active,538.556,4.896200000000005,0.0,5.0,6.481486060122113
2392,CHEMBL1085076,O=S(=O)(NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12)C(F)(F)F,73.0,active,513.5400000000002,1.9690799999999997,0.0,8.0,7.136677139879544
2393,CHEMBL2315174,CS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,130.0,active,497.54100000000017,2.7378800000000005,0.0,7.0,6.886056647693163
2394,CHEMBL2315175,CS(=O)(=O)CC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,63.0,active,556.5270000000002,3.116200000000002,0.0,7.0,7.200659450546418
2395,CHEMBL2315176,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,1600.0,intermediate,540.528,3.8850000000000033,0.0,6.0,5.795880017344075
2396,CHEMBL2314616,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C#N)cc3)c3c(F)ccc(F)c3OC[C@@H]12,25.0,active,522.9750000000001,2.750800000000001,0.0,7.0,7.6020599913279625
2397,CHEMBL2315177,CS(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)C3=C(OC[C@@H]12)C(F)(F)C=CC3=O,56.0,active,506.9760000000001,3.5196000000000023,0.0,6.0,7.251811972993799
